playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2506121","null","Philip Rivers","QB","SD","QB","SD","null","17.68","null","null","null","3","null","null","1.03","null","null","null","17.68","17.68","5.8533","null",
"2506147","null","John Kuhn","RB","NO","RB","NO","null","0.6","null","null","null","81","null","null","0","null","null","null","0.6","0.6","6.1076","null",
"2506222","null","Josh Cribbs","WR","FA","WR","FA","null","0","null","null","null","145","null","null","0","null","null","null","0","0","null","null",
"2506340","null","Alex Smith","QB","KC","QB","KC","null","12.84","null","null","null","17","null","null","0.24","null","null","null","12.84","12.84","4.6517","null",
"2506341","null","Ronnie Brown","RB","FA","RB","FA","null","0","null","null","null","96","null","null","0","null","null","null","0","0","null","null",
"2506363","null","Aaron Rodgers","QB","GB","QB","GB","null","16.38","null","null","null","5","null","null","0.8","null","null","null","16.38","16.38","1.8482","null",
"2506400","null","Vincent Jackson","WR","TB","WR","TB","null","0","null","null","null","145","null","null","0","null","null","null","0","0","null","null",
"2506467","null","Darren Sproles","RB","PHI","RB","PHI","null","17.4","null","null","null","3","null","null","0.75","null","null","null","17.4","17.4","2.9281","null",
"2506546","null","Derek Anderson","QB","CAR","QB","CAR","null","0.32","null","null","null","39","null","null","0","null","null","null","0.32","0.32","null","null",
"2506562","null","Matt Cassel","QB","TEN","QB","TEN","null","0.36","null","null","null","35","null","null","0.02","null","null","null","0.36","0.36","null","null",
"2506581","null","Ryan Fitzpatrick","QB","NYJ","QB","NYJ","null","14.02","null","null","null","11","null","null","0.11","null","null","null","14.02","14.02","null","null",
